subj,Guess,Pos,PosGuess,Trial,Acc
1,G,1,1,GSS,100
2,G,1,1,GSS,100
3,G,1,1,GSS,100
4,G,1,1,GSS,100
5,G,1,1,GSS,83.33333333
6,G,1,1,GSS,83.33333333
7,G,1,1,GSS,66.66666667
8,G,1,1,GSS,100
9,G,1,1,GSS,83.33333333
10,G,1,1,GSS,83.33333333
11,G,1,1,GSS,100
12,G,1,1,GSS,100
13,G,1,1,GSS,100
14,G,1,1,GSS,66.66666667
15,G,1,1,GSS,66.66666667
16,G,1,1,GSS,83.33333333
17,G,1,1,GSS,50
18,G,1,1,GSS,66.66666667
19,G,1,1,GSS,100
20,G,1,1,GSS,83.33333333
21,G,1,1,GSS,100
22,G,1,1,GSS,100
23,G,1,1,GSS,100
24,G,1,1,GSS,66.66666667
25,G,1,1,GSS,100
26,G,1,1,GSS,66.66666667
27,G,1,1,GSS,100
28,G,1,1,GSS,100
29,G,1,1,GSS,100
30,G,1,1,GSS,100
31,G,1,1,GSS,100
32,G,1,1,GSS,100
33,G,1,1,GSS,66.66666667
34,G,1,1,GSS,100
35,G,1,1,GSS,100
37,G,1,1,GSS,100
38,G,1,1,GSS,100
39,G,1,1,GSS,100
40,G,1,1,GSS,100
1,G,1,2,SGS,83.33333333
2,G,1,2,SGS,100
3,G,1,2,SGS,66.66666667
4,G,1,2,SGS,66.66666667
5,G,1,2,SGS,100
6,G,1,2,SGS,50
7,G,1,2,SGS,66.66666667
8,G,1,2,SGS,66.66666667
9,G,1,2,SGS,100
10,G,1,2,SGS,83.33333333
11,G,1,2,SGS,66.66666667
12,G,1,2,SGS,83.33333333
13,G,1,2,SGS,100
14,G,1,2,SGS,100
15,G,1,2,SGS,100
16,G,1,2,SGS,83.33333333
17,G,1,2,SGS,100
18,G,1,2,SGS,83.33333333
19,G,1,2,SGS,100
20,G,1,2,SGS,100
21,G,1,2,SGS,83.33333333
22,G,1,2,SGS,100
23,G,1,2,SGS,66.66666667
24,G,1,2,SGS,50
25,G,1,2,SGS,100
26,G,1,2,SGS,100
27,G,1,2,SGS,83.33333333
28,G,1,2,SGS,83.33333333
29,G,1,2,SGS,100
30,G,1,2,SGS,83.33333333
31,G,1,2,SGS,83.33333333
32,G,1,2,SGS,83.33333333
33,G,1,2,SGS,83.33333333
34,G,1,2,SGS,83.33333333
35,G,1,2,SGS,100
37,G,1,2,SGS,66.66666667
38,G,1,2,SGS,83.33333333
39,G,1,2,SGS,100
40,G,1,2,SGS,66.66666667
1,G,1,3,SSG,83.33333333
2,G,1,3,SSG,100
3,G,1,3,SSG,100
4,G,1,3,SSG,66.66666667
5,G,1,3,SSG,66.66666667
6,G,1,3,SSG,50
7,G,1,3,SSG,83.33333333
8,G,1,3,SSG,83.33333333
9,G,1,3,SSG,100
10,G,1,3,SSG,100
11,G,1,3,SSG,83.33333333
12,G,1,3,SSG,100
13,G,1,3,SSG,100
14,G,1,3,SSG,83.33333333
15,G,1,3,SSG,66.66666667
16,G,1,3,SSG,83.33333333
17,G,1,3,SSG,33.33333333
18,G,1,3,SSG,83.33333333
19,G,1,3,SSG,100
20,G,1,3,SSG,100
21,G,1,3,SSG,83.33333333
22,G,1,3,SSG,66.66666667
23,G,1,3,SSG,66.66666667
24,G,1,3,SSG,83.33333333
25,G,1,3,SSG,83.33333333
26,G,1,3,SSG,83.33333333
27,G,1,3,SSG,83.33333333
28,G,1,3,SSG,83.33333333
29,G,1,3,SSG,83.33333333
30,G,1,3,SSG,100
31,G,1,3,SSG,83.33333333
32,G,1,3,SSG,50
33,G,1,3,SSG,83.33333333
34,G,1,3,SSG,100
35,G,1,3,SSG,83.33333333
37,G,1,3,SSG,83.33333333
38,G,1,3,SSG,83.33333333
39,G,1,3,SSG,100
40,G,1,3,SSG,83.33333333
1,G,2,1,GSS,66.66666667
2,G,2,1,GSS,100
3,G,2,1,GSS,83.33333333
4,G,2,1,GSS,50
5,G,2,1,GSS,66.66666667
6,G,2,1,GSS,83.33333333
7,G,2,1,GSS,83.33333333
8,G,2,1,GSS,83.33333333
9,G,2,1,GSS,100
10,G,2,1,GSS,100
11,G,2,1,GSS,83.33333333
12,G,2,1,GSS,83.33333333
13,G,2,1,GSS,100
14,G,2,1,GSS,83.33333333
15,G,2,1,GSS,100
16,G,2,1,GSS,83.33333333
17,G,2,1,GSS,33.33333333
18,G,2,1,GSS,83.33333333
19,G,2,1,GSS,100
20,G,2,1,GSS,83.33333333
21,G,2,1,GSS,83.33333333
22,G,2,1,GSS,66.66666667
23,G,2,1,GSS,66.66666667
24,G,2,1,GSS,33.33333333
25,G,2,1,GSS,100
26,G,2,1,GSS,83.33333333
27,G,2,1,GSS,100
28,G,2,1,GSS,100
29,G,2,1,GSS,100
30,G,2,1,GSS,100
31,G,2,1,GSS,100
32,G,2,1,GSS,50
33,G,2,1,GSS,50
34,G,2,1,GSS,100
35,G,2,1,GSS,100
37,G,2,1,GSS,100
38,G,2,1,GSS,83.33333333
39,G,2,1,GSS,100
40,G,2,1,GSS,83.33333333
1,G,2,2,SGS,83.33333333
2,G,2,2,SGS,83.33333333
3,G,2,2,SGS,100
4,G,2,2,SGS,66.66666667
5,G,2,2,SGS,50
6,G,2,2,SGS,100
7,G,2,2,SGS,100
8,G,2,2,SGS,100
9,G,2,2,SGS,100
10,G,2,2,SGS,83.33333333
11,G,2,2,SGS,83.33333333
12,G,2,2,SGS,83.33333333
13,G,2,2,SGS,83.33333333
14,G,2,2,SGS,100
15,G,2,2,SGS,83.33333333
16,G,2,2,SGS,50
17,G,2,2,SGS,50
18,G,2,2,SGS,100
19,G,2,2,SGS,100
20,G,2,2,SGS,83.33333333
21,G,2,2,SGS,100
22,G,2,2,SGS,100
23,G,2,2,SGS,100
24,G,2,2,SGS,50
