subj,GSS_P1,GSS_P2,GSS_P3,SGS_P1,SGS_P2,SGS_P3,SSG_P1,SSG_P2,SSG_P3,SSS_P1,SSS_P2,SSS_P3,P1,P2,P3,G1,G2,G3,S1,S2,S3
1,100,66.66666667,66.66666667,83.33333333,83.33333333,100,83.33333333,100,66.66666667,66.66666667,66.66666667,66.66666667,83.33333333,79.16666667,75,100,83.33333333,66.66666667,66.66666667,66.66666667,66.66666667
2,100,100,83.33333333,100,83.33333333,100,100,100,100,100,100,100,100,95.83333333,95.83333333,100,83.33333333,100,100,100,100
3,100,83.33333333,33.33333333,66.66666667,100,100,100,83.33333333,100,66.66666667,83.33333333,83.33333333,83.33333333,87.5,79.16666667,100,100,100,66.66666667,83.33333333,83.33333333
4,100,50,33.33333333,66.66666667,66.66666667,50,66.66666667,66.66666667,100,100,33.33333333,50,83.33333333,54.16666667,58.33333333,100,66.66666667,100,100,33.33333333,50
5,83.33333333,66.66666667,83.33333333,100,50,83.33333333,66.66666667,83.33333333,83.33333333,66.66666667,83.33333333,66.66666667,79.16666667,70.83333333,79.16666667,83.33333333,50,83.33333333,66.66666667,83.33333333,66.66666667
6,83.33333333,83.33333333,83.33333333,50,100,66.66666667,50,66.66666667,100,66.66666667,50,66.66666667,62.5,75,79.16666667,83.33333333,100,100,66.66666667,50,66.66666667
7,66.66666667,83.33333333,66.66666667,66.66666667,100,66.66666667,83.33333333,83.33333333,83.33333333,100,83.33333333,100,79.16666667,87.5,79.16666667,66.66666667,100,83.33333333,100,83.33333333,100
8,100,83.33333333,66.66666667,66.66666667,100,100,83.33333333,100,100,100,100,83.33333333,87.5,95.83333333,87.5,100,100,100,100,100,83.33333333
9,83.33333333,100,83.33333333,100,100,50,100,83.33333333,83.33333333,83.33333333,66.66666667,66.66666667,91.66666667,87.5,70.83333333,83.33333333,100,83.33333333,83.33333333,66.66666667,66.66666667
10,83.33333333,100,50,83.33333333,83.33333333,50,100,66.66666667,80,100,83.33333333,100,91.66666667,83.33333333,70,83.33333333,83.33333333,80,100,83.33333333,100
11,100,83.33333333,83.33333333,66.66666667,83.33333333,33.33333333,83.33333333,83.33333333,100,16.66666667,66.66666667,50,66.66666667,79.16666667,66.66666667,100,83.33333333,100,16.66666667,66.66666667,50
12,100,83.33333333,100,83.33333333,83.33333333,83.33333333,100,100,100,50,100,83.33333333,83.33333333,91.66666667,91.66666667,100,83.33333333,100,50,100,83.33333333
13,100,100,100,100,83.33333333,83.33333333,100,100,100,100,100,100,100,95.83333333,95.83333333,100,83.33333333,100,100,100,100
14,66.66666667,83.33333333,100,100,100,100,83.33333333,83.33333333,83.33333333,83.33333333,66.66666667,100,83.33333333,83.33333333,95.83333333,66.66666667,100,83.33333333,83.33333333,66.66666667,100
15,66.66666667,100,66.66666667,100,83.33333333,66.66666667,66.66666667,33.33333333,33.33333333,50,66.66666667,33.33333333,70.83333333,70.83333333,50,66.66666667,83.33333333,33.33333333,50,66.66666667,33.33333333
16,83.33333333,83.33333333,66.66666667,83.33333333,50,100,83.33333333,66.66666667,83.33333333,100,66.66666667,50,87.5,66.66666667,75,83.33333333,50,83.33333333,100,66.66666667,50
17,50,33.33333333,16.66666667,100,50,33.33333333,33.33333333,66.66666667,83.33333333,50,66.66666667,50,58.33333333,54.16666667,45.83333333,50,50,83.33333333,50,66.66666667,50
18,66.66666667,83.33333333,66.66666667,83.33333333,100,83.33333333,83.33333333,100,100,100,100,83.33333333,83.33333333,95.83333333,83.33333333,66.66666667,100,100,100,100,83.33333333
